mensagem,categoria,prioridade,resposta_base
"Não consigo rastrear meu pacote internacional",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Rastreio sumiu do aplicativo",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Encomenda em trânsito há semanas sem atualizar",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Código de rastreio não encontrado na base",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Faz 15 dias que o rastreio não muda",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Formulário de inscrição não envia",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Não recebi SMS de confirmação",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Email de ativação não chegou na caixa de entrada",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Verificação de conta pendente",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Não concluí a validação do cadastro",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
